Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link1,"-0,0140451869769053","-0,000102443179340425","0,424212396380785",0,0,0,"0,264483114754865","0,000377148965233947","2,5994599532165E-08","8,26900991274006E-06","0,000206025340153957","1,60054464463747E-07","0,000337797285188758",0,0,0,0,0,0,package://rosaya_models/meshes/Link1.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/Link1.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link2,"0,0275163486490869","-0,000225038484028668","-0,0398526629439051",0,0,0,"0,266759815938641","0,000201939143646351","-2,02604473576346E-07","2,92452499794774E-07","6,97314124612398E-05","6,70715099069118E-07","0,000208906968608255",0,0,0,0,0,0,package://rosaya_models/meshes/Link2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/Link2.STL,,Link2-1,Origin_Joint1,Axis_Joint1,Joint1,continuous,"0,0150416145062784","-0,000145225937100715","0,375282029235617","0,00310746977134566",0,"-3,14159265358979",Link1,-1,0,0,,,,,,,,,,,,
Link3,"-0,0108043634184127","2,16609979877824E-06","-0,0246321946172634",0,0,0,"0,141461102552141","2,39627133598282E-05","2,90037379199943E-09","1,8274454421264E-07","3,84330097232021E-05","-3,81895596612324E-11","3,16699542466875E-05",0,0,0,0,0,0,package://rosaya_models/meshes/Link3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/Link3.STL,,Link3-1,Origin_Joint2,Axis_Joint2,Joint2,continuous,"0,0150417125919951","-0,00017124992576488","-0,0551096819554042","0,00310746977134566",0,"3,14159265358979",Link2,0,0,1,,,,,,,,,,,,
L_Link,"2,50323684336529E-07","7,44298438559027E-08","-0,009497265940245",0,0,0,"0,00620476919773645","1,16709532356444E-06","2,24128152883016E-14","-1,31754042277062E-11","4,70615058588181E-06","-3,91750100003524E-12","4,36737368608336E-06",0,0,0,0,0,0,package://rosaya_models/meshes/L_Link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/L_Link.STL,,Link4-2,Origin_Joint3,Axis_Joint3,Joint3,continuous,0,"0,045659264836335","-0,0460755308216049",0,0,"-0,000200463315012628",Link3,0,0,1,,,,,,,,,,,,
L_Link1,"0,00657311272351697","-0,000309350747005263","-0,0151748569832827",0,0,0,"0,18639489707273","7,83297449900637E-05","3,05121819265623E-12","-1,95916960725846E-07","7,66987387899111E-05","1,61633318765208E-07","4,72446830208299E-05",0,0,0,0,0,0,package://rosaya_models/meshes/L_Link1.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/L_Link1.STL,,L-Link1-1,Origin_Joint5,Axis_Joint5,Joint5,continuous,"-0,0317500000000014",0,"-0,0339141545469447","0,000537539761406673",0,0,L_Link,1,0,0,,,,,,,,,,,,
L_Link2,"-0,000485947927418726","0,0245791199167028","-0,0913077482560078",0,0,0,"0,0990788181499382","4,93824228389883E-05","-2,94635540720296E-09","-1,12132818777156E-07","3,6564094548438E-05","-1,06282556014619E-06","2,89120074625432E-05",0,0,0,0,0,0,package://rosaya_models/meshes/L_Link2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/L_Link2.STL,,L-Link2-1,Origin_Joint7,Axis_Joint7,Joint7,continuous,"0,0317200000000001","-0,0244999999999996",0,0,0,0,L_Link1,0,1,0,,,,,,,,,,,,
L_Link3,"0,00932898247433369","0,0260353980000009","-0,0336820846788216",0,0,0,"0,0193582268613659","3,00375991900623E-05","1,78753730372709E-20","-4,16144772485329E-06","2,14370365193727E-05","1,96098359812431E-19","1,54337749522801E-05",0,0,0,0,0,0,package://rosaya_models/meshes/L_Link3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/L_Link3.STL,,L-Link3-1,Origin_Joint9,Axis_Joint9,Joint9,continuous,"-0,000558037765886032","-0,00140000000000197","-0,112828252884564",0,"-0,000303003582677282",0,L_Link2,0,1,0,,,,,,,,,,,,
L_Link4,"0,0229326730067766","-0,0259869723493596","0,0153883242508742",0,0,0,"0,182895656171114","7,53620801606469E-05","9,74709752344958E-14","-1,07043004505627E-06","7,48745810421612E-05","1,06447109761369E-06","4,69411945289824E-05",0,0,0,0,0,0,package://rosaya_models/meshes/L_Link4.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/L_Link4.STL,,L-Link4-1,Origin_Joint11,Axis_Joint11,Joint11,continuous,0,0,"-0,0949999999999996",0,"-0,000302748335169453","3,14159265358979",L_Link3,0,-1,0,,,,,,,,,,,,
L_Link5,"-0,0279100000022213","-0,00784814161879391","-0,0292680262318618",0,0,0,"0,0728910331350744","3,33197131957481E-05","-2,71246541755995E-14","-8,07357015135364E-16","0,000102630001589937","-1,64946572156077E-12","0,000132875198487612",0,0,0,0,0,0,package://rosaya_models/meshes/L_Link5.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/L_Link5.STL,,L-Link5-1,Origin_Joint13,Axis_Joint13,Joint13,continuous,"0,0235999999999932","-0,0259999999999994",0,0,0,0,L_Link4,-1,0,0,,,,,,,,,,,,
R_Link,"2,50323684322651E-07","7,44298438298818E-08","-0,009497265940245",0,0,0,"0,00620476919773645","1,16709532356444E-06","2,24128168484417E-14","-1,31754042254942E-11","4,70615058588182E-06","-3,91750099867982E-12","4,36737368608336E-06",0,0,0,0,0,0,package://rosaya_models/meshes/R_Link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/R_Link.STL,,Link4-1,Origin_Joint4,Axis_Joint4,Joint4,continuous,0,"-0,0456592648363355","-0,0460755308216101",0,0,"-0,000200463315012628",Link3,0,0,1,,,,,,,,,,,,
R_Link1,"0,00657493812540676","0,000309357807021043","-0,0151748569832826",0,0,0,"0,18639489707273","7,83297449900636E-05","3,05121820196201E-12","-1,95917088531604E-07","7,6698738789911E-05","-1,62133778034599E-07","4,72446830208299E-05",0,0,0,0,0,0,package://rosaya_models/meshes/R_Link1.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/R_Link1.STL,,R-Link1-1,Origin_Joint6,Axis_Joint6,Joint6,continuous,"-0,0317499999999999",0,"-0,0339141545469453","0,000537539765574113",0,0,R_Link,1,0,0,,,,,,,,,,,,
R_Link2,"2,80111859402715E-05","0,0245791212735314","-0,0912599475740594",0,0,0,"0,0990788181535519","4,93830312794501E-05","2,31024992829368E-09","7,60281236107224E-09","3,65640945538293E-05","-1,06282733006272E-06","2,89113990286086E-05",0,0,0,0,0,0,package://rosaya_models/meshes/R_Link2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/R_Link2.STL,,R-Link2-1,Origin_Joint8,Axis_Joint8,Joint8,continuous,"0,031720000000165","0,0245000000000003","-4,90873395437297E-05",0,0,"-3,14159265358979",R_Link1,0,-1,0,,,,,,,,,,,,
R_Link3,"-0,00932898252848983","0,0260353980000001","-0,0336820846638228",0,0,0,"0,0193582268613659","3,00375992034434E-05","-2,69594705243283E-20","4,16144770137387E-06","2,14370365193727E-05","-1,88595165744634E-19","1,54337749388988E-05",0,0,0,0,0,0,package://rosaya_models/meshes/R_Link3.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/R_Link3.STL,,R-Link3-1,Origin_Joint10,Axis_Joint10,Joint10,continuous,0,"-0,0014000000000008","-0,11278054553733",0,0,0,R_Link2,0,-1,0,,,,,,,,,,,,
R_Link4,"-0,0229292401554875","-0,0259904059352682","0,0153884170261417",0,0,0,"0,182895656171117","7,53620801606485E-05","9,74709990804585E-14","1,07371232224204E-06","7,48745810421634E-05","1,06118336765581E-06","4,69411945289827E-05",0,0,0,0,0,0,package://rosaya_models/meshes/R_Link4.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/R_Link4.STL,,R-Link4-1,Origin_Joint12,Axis_Joint12,Joint12,continuous,0,0,"-0,0949999999999999",0,0,"3,14159265358979",R_Link3,0,1,0,,,,,,,,,,,,
R_Link5,"-0,0279100000022238","0,00784810174265635","-0,0292680262318556",0,0,0,"0,0728910331350756","3,3319713195748E-05","-2,71244792029117E-14","-8,07324395262557E-16","0,000102630001589938","-1,64946573526789E-12","0,000132875198487613",0,0,0,0,0,0,package://rosaya_models/meshes/R_Link5.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://rosaya_models/meshes/R_Link5.STL,,R-Link5-1,Origin_Joint14,Axis_Joint14,Joint14,continuous,"-0,0235999999999946","-0,0260000000000017",0,0,0,"3,14159265358979",R_Link4,-1,0,0,,,,,,,,,,,,
